Rank,Feature,Absolute_SHAP
1,BCL2L1,0.14582300152307712
2,IKZF1,0.11190888462281415
3,EEF2,0.09669107741093136
4,BTC,0.07725262636538247
5,CISH,0.06428295959092464
6,HIF1A,0.048535547016825026
7,AGAP2,0.04779553721498207
8,ELMO1,0.04713817368095262
9,CD34,0.046907311851550094
10,ARHGDIA,0.04088919098884224
