Rank,Feature,Absolute_SHAP
1,EEF2,0.09095247042981101
2,BCL2L1,0.07769988374358969
3,IKZF1,0.06751546226251023
4,APBB1,0.061371465143747424
5,BAG1,0.0612864038443353
6,ELMO1,0.05014886516274756
7,FGF18,0.0436243033435467
8,CARM1,0.03960378496314725
9,IL12RB1,0.03910826171605192
10,GNAI3,0.0358608012281446
